Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg,PPG_x,PPG_y
A&M-Corpus Christi,1.43,19.2,42.75,3.0,0.514,18.75,46.13,36.493,22.2,17.5,52.86,9.2,10.0,29.0,16.25,,61.5,82.2,20.0,12.0,23.0,32.61,25.6,7.5,5.2,13.5,18.75,82.2,82.2
Nevada,2.21,18.2,28.0,3.8,0.554,7.0,50.4,39.669,19.2,26.0,75.96,19.8,10.0,31.5,10.5,,65.2,89.0,23.0,5.0,18.2,34.25,31.2,6.2,3.2,8.2,11.5,89.0,89.0
NC State,1.96,15.0,20.33,3.7,0.529,18.33,47.37,37.975,18.0,18.0,77.78,14.0,2.0,25.67,11.67,,58.7,81.0,22.0,8.0,22.3,31.34,28.8,7.0,8.0,7.7,15.67,81.0,81.0
Central Conn. St.,1.81,16.3,25.33,5.7,0.515,11.33,47.74,41.989,15.0,18.0,62.96,11.3,0.0,28.33,10.0,,65.7,79.7,14.0,9.0,21.3,23.44,31.1,5.0,8.0,9.0,17.0,79.7,75.5
La Salle,1.82,15.0,11.5,3.5,0.522,10.0,45.61,44.298,17.0,19.2,72.73,14.0,-4.0,23.5,9.0,,67.5,73.5,6.0,6.0,20.8,36.14,34.1,7.5,5.0,8.2,13.25,73.5,73.5
Clemson,1.8,18.0,23.33,6.3,0.549,7.33,45.98,40.476,16.3,15.7,68.09,10.7,-2.0,24.67,7.33,,65.7,74.3,8.0,4.7,27.3,37.8,35.4,10.3,2.3,10.0,12.33,74.3,77.0
Louisiana Tech,1.61,17.7,37.67,2.7,0.545,11.0,47.09,39.506,19.7,19.7,67.8,13.3,7.0,28.67,11.67,,62.3,82.0,19.0,9.3,27.0,34.57,27.7,9.3,3.0,11.0,14.0,82.0,82.0
Texas A&M,1.93,14.0,20.25,4.2,0.447,3.5,40.3,37.339,13.8,22.8,75.82,17.2,14.0,27.75,19.25,,61.0,76.0,15.0,6.2,23.2,24.73,29.6,5.8,3.2,7.2,10.5,76.0,76.0
UConn,1.79,19.7,21.0,6.7,0.624,14.0,54.7,36.158,17.0,30.0,70.0,21.0,16.0,29.0,15.33,,57.3,96.3,39.0,7.0,28.0,33.33,26.5,9.3,4.3,11.0,15.33,96.3,89.4
Creighton,1.98,19.8,25.5,4.2,0.646,12.5,53.66,39.313,8.5,17.0,73.53,12.5,16.0,32.5,11.25,,62.0,92.0,30.0,3.8,33.8,40.0,34.0,13.5,-3.0,10.0,7.0,92.0,92.0
Lipscomb,1.74,18.4,32.4,4.6,0.611,12.8,51.41,43.519,14.2,14.8,72.97,10.8,-5.0,26.2,6.8,,76.2,88.8,12.0,7.6,30.0,41.33,33.0,12.4,3.2,10.6,13.8,88.8,88.8
Sacramento St.,1.25,18.8,26.5,1.2,0.52,10.0,43.38,48.425,15.8,13.5,70.37,9.5,16.0,29.5,16.5,,81.5,80.2,-1.0,4.0,35.5,33.1,37.8,11.8,-7.5,15.0,7.5,80.2,78.4
